# Generated using a python script
# Convert to a table using `libime_tabledict`
#
# if you wanna use this as your IME, follow the install instructions at https://github.com/mun-luna/nasin-mun
# but make sure to delete the `./nasin-mun/` directory, and rename `./nasin-mun-combos/` to `./nasin-mun/`
# BEFORE using the nix module or the install script
# keep in mind that this is more a proof of concept than anything else, many improvements could be made
#
# all keys are generated in the format of "KeyOne-KeyTwo", if you need to use a particular joiner, navigate using the hint

KeyCode=ptkmnswljaeiou-
Length=15

[Data]
a 󱤀
a-a 󱤀‍󱤀
a-akesi 󱤀‍󱤁
a-ala 󱤀‍󱤂
a-alasa 󱤀‍󱤃
a-ale 󱤀‍󱤄
a-anpa 󱤀‍󱤅
a-ante 󱤀‍󱤆
a-anu 󱤀‍󱤇
a-awen 󱤀‍󱤈
a-e 󱤀‍󱤉
a-en 󱤀‍󱤊
a-esun 󱤀‍󱤋
a-ijo 󱤀‍󱤌
a-ike 󱤀‍󱤍
a-ilo 󱤀‍󱤎
a-insa 󱤀‍󱤏
a-jaki 󱤀‍󱤐
a-jan 󱤀‍󱤑
a-jelo 󱤀‍󱤒
a-jo 󱤀‍󱤓
a-kala 󱤀‍󱤔
a-kalama 󱤀‍󱤕
a-kama 󱤀‍󱤖
a-kasi 󱤀‍󱤗
a-ken 󱤀‍󱤘
a-kepeken 󱤀‍󱤙
a-kili 󱤀‍󱤚
a-kin 󱤀‍󱥹
a-kiwen 󱤀‍󱤛
a-ko 󱤀‍󱤜
a-kon 󱤀‍󱤝
a-kule 󱤀‍󱤞
a-kulupu 󱤀‍󱤟
a-kute 󱤀‍󱤠
a-la 󱤀‍󱤡
a-lape 󱤀‍󱤢
a-laso 󱤀‍󱤣
a-lawa 󱤀‍󱤤
a-len 󱤀‍󱤥
a-lete 󱤀‍󱤦
a-li 󱤀‍󱤧
a-lili 󱤀‍󱤨
a-linja 󱤀‍󱤩
a-lipu 󱤀‍󱤪
a-loje 󱤀‍󱤫
a-lon 󱤀‍󱤬
a-luka 󱤀‍󱤭
a-lukin 󱤀‍󱤮
a-lupa 󱤀‍󱤯
a-ma 󱤀‍󱤰
a-mama 󱤀‍󱤱
a-mani 󱤀‍󱤲
a-meli 󱤀‍󱤳
a-mi 󱤀‍󱤴
a-mije 󱤀‍󱤵
a-moku 󱤀‍󱤶
a-moli 󱤀‍󱤷
a-monsi 󱤀‍󱤸
a-monsuta 󱤀‍󱥽
a-mu 󱤀‍󱤹
a-mun 󱤀‍󱤺
a-musi 󱤀‍󱤻
a-mute 󱤀‍󱤼
a-nanpa 󱤀‍󱤽
a-nasa 󱤀‍󱤾
a-nasin 󱤀‍󱤿
a-nena 󱤀‍󱥀
a-ni 󱤀‍󱥁
a-nimi 󱤀‍󱥂
a-noka 󱤀‍󱥃
a-o 󱤀‍󱥄
a-olin 󱤀‍󱥅
a-ona 󱤀‍󱥆
a-open 󱤀‍󱥇
a-pakala 󱤀‍󱥈
a-pali 󱤀‍󱥉
a-palisa 󱤀‍󱥊
a-pan 󱤀‍󱥋
a-pana 󱤀‍󱥌
a-pi 󱤀‍󱥍
a-pilin 󱤀‍󱥎
a-pimeja 󱤀‍󱥏
a-pini 󱤀‍󱥐
a-pipi 󱤀‍󱥑
a-poka 󱤀‍󱥒
a-poki 󱤀‍󱥓
a-pona 󱤀‍󱥔
a-pu 󱤀‍󱥕
a-sama 󱤀‍󱥖
a-seli 󱤀‍󱥗
a-selo 󱤀‍󱥘
a-seme 󱤀‍󱥙
a-sewi 󱤀‍󱥚
a-sijelo 󱤀‍󱥛
a-sike 󱤀‍󱥜
a-sin 󱤀‍󱥝
a-sina 󱤀‍󱥞
a-sinpin 󱤀‍󱥟
a-sitelen 󱤀‍󱥠
a-sona 󱤀‍󱥡
a-soweli 󱤀‍󱥢
a-suli 󱤀‍󱥣
a-suno 󱤀‍󱥤
a-supa 󱤀‍󱥥
a-suwi 󱤀‍󱥦
a-tan 󱤀‍󱥧
a-taso 󱤀‍󱥨
a-tawa 󱤀‍󱥩
a-telo 󱤀‍󱥪
a-tenpo 󱤀‍󱥫
a-toki 󱤀‍󱥬
a-tomo 󱤀‍󱥭
a-tonsi 󱤀‍󱥾
a-tu 󱤀‍󱥮
a-unpa 󱤀‍󱥯
a-uta 󱤀‍󱥰
a-utala 󱤀‍󱥱
a-walo 󱤀‍󱥲
a-wan 󱤀‍󱥳
a-waso 󱤀‍󱥴
a-wawa 󱤀‍󱥵
a-weka 󱤀‍󱥶
